 
"","PM04862AA"
"","Producto bruto interno y otros indicadores - PBI per cápita (S/ 2007)"
1922,2778.02514246687
1923,2897.34951983819
1924,3127.01282974669
1925,3155.43775649332
1926,3409.28763520364
1927,3433.17480218985
1928,3574.06242230501
1929,3890.83084332433
1930,3438.71019759437
1931,3188.71987418738
1932,3068.6248754406
1933,3299.52347598964
1934,3634.68963300615
1935,3892.76426766841
1936,4021.54188224265
1937,4048.07902653992
1938,4078.00409462494
1939,4089.699257725
1940,4130.56479048711
1941,4114.86604720027
1942,3960.80501263697
1943,3997.62878449337
1944,4250.25627798762
1945,4376.41436829801
1946,4575.5135736506
1947,4642.20680984053
1948,4734.9455078347
1949,5031.95302259576
1950,5261.36661554878
1951,5603.53314225851
1952,5783.28893700934
1953,5961.17647688936
1954,6117.24325914274
1955,6306.15242175197
1956,6427.60074448682
1957,6672.13237161459
1958,6423.66209534473
1959,6446.44462167534
1960,6889.01753938783
1961,7188.91326629043
1962,7687.50792058959
1963,7793.57461382945
1964,8069.84847506312
1965,8285.22711966496
1966,8719.47788269701
1967,8806.20446530453
1968,8578.12439246533
1969,8637.3978452197
1970,8685.27390102286
1971,8837.09606311647
1972,8896.50499320854
1973,9200.25086925979
1974,9795.48590919049
1975,9947.93778484195
1976,9829.23707544323
1977,9609.06798774783
1978,9116.67413707218
1979,9251.34482929627
1980,9559.48979397439
1981,9845.49670138766
1982,9588.63716047656
1983,8388.35668339094
1984,8489.78585108235
1985,8467.71990365113
1986,9057.8362304836
1987,9718.22152741587
1988,8608.95993383361
1989,7388.67128485655
1990,6876.11495964415
1991,6888.67634956293
1992,6718.50277330121
1993,6937.04923014045
1994,7647.08243282966
1995,8065.80248417339
1996,8141.58420126341
1997,8511.65572325605
1998,8330.04898131695
1999,8317.7608395415
2000,8420.06353918351
2001,8369.20552165803
2002,8732.63059677658
2003,9011.04187937119
2004,9376.14372370261
2005,9882.68133315001
2006,10545.9147977199
2007,11368.0109470973
2008,12327.3997953101
2009,12381.5710120712
2010,13316.2141246367
2011,14054.5168820363
2012,14811.135939133
2013,15556.0348185799
2014,15778.6827264098
2015,16102.5885999295
2016,16486.9929428987
2017,16601.5087754914
2018,16940.0797728163
2019,17011.5525622911
2020,14918.7082625155
2021,16687.7262276745
		
